JS check: OK
getSelectedUnit: total 1, rules 1, main 0
getCellAt: total 1, rules 1, main 0
isFieldUnit: total 1, rules 1, main 0
getUnitAt: total 1, rules 1, main 0
getHq: total 1, rules 1, main 0
combatUnits: total 1, rules 1, main 0
activeCombatUnits: total 1, rules 1, main 0
hasAnyCombatUnits: total 1, rules 1, main 0
structureBlueprintFor: total 1, rules 1, main 0
blueprintById: total 1, rules 1, main 0
enemyOf: total 1, rules 1, main 0
factionMeta: total 1, rules 1, main 0
factionMetaBySide: total 1, rules 1, main 0
playerName: total 1, rules 1, main 0
effectiveLife: total 1, rules 1, main 0
isInsideMap: total 1, rules 1, main 0
isPsLocked: total 1, rules 1, main 0
addPsLock: total 1, rules 1, main 0
tickPsLocksAtStart: total 1, rules 1, main 0
updateControlFromOccupants: total 1, rules 1, main 0
removeDeadControl: total 1, rules 1, main 0
countControlledPS: total 1, rules 1, main 0
resolveEndOfRound: total 1, rules 1, main 0
resolveRoundLimit: total 1, rules 1, main 0
maybeAutoResign: total 1, rules 1, main 0
concedeMatch: total 1, rules 1, main 0
setWinner: total 1, rules 1, main 0
inferWinnerSide: total 1, rules 1, main 0
inferWinType: total 1, rules 1, main 0
checkVictory: total 1, rules 1, main 0
