JS check: OK
lightFieldLimit: total 1, economy 1, main 0
agathoiStructureCount: total 1, economy 1, main 0
agathoiStructureIncomeBonus: total 1, economy 1, main 0
economicEffectsSummary: total 1, economy 1, main 0
addPlayerEffect: total 1, economy 1, main 0
affectedPlayerForAbility: total 1, economy 1, main 0
activeEconomicEffect: total 1, economy 1, main 0
effectiveIncomeGain: total 1, economy 1, main 0
factionDoctrineIncome: total 1, economy 1, main 0
effectiveBlueprintCost: total 1, economy 1, main 0
playerCostModifiers: total 1, economy 1, main 0
matchesEconomyFilter: total 1, economy 1, main 0
consumeDeploymentDiscount: total 1, economy 1, main 0
canAffordBlueprint: total 1, economy 1, main 0
fieldUnitsByBlueprint: total 1, economy 1, main 0
activeBlueprintCount: total 1, economy 1, main 0
activeStructureCount: total 1, economy 1, main 0
activeCommanderCount: total 1, economy 1, main 0
isLight: total 1, economy 1, main 0
countsAsLightCap: total 1, economy 1, main 0
activeLightCount: total 1, economy 1, main 0
activeLightCountByType: total 1, economy 1, main 0
fieldLimitFor: total 1, economy 1, main 0
purchaseLimitReached: total 1, economy 1, main 0
limitLabel: total 1, economy 1, main 0
limitReason: total 1, economy 1, main 0
commanderUses: total 1, economy 1, main 0
commanderLimitReached: total 1, economy 1, main 0
